,userName,score,at,content
359,AGlegend,5,2022-08-12 06:37:45,Tempat streaming favorit?? Yaa Netflix dong 😎 Harga?? Lumayan terjangkau dan tidak untuk di mendang mendingkan 🗿
360,Hendri usmantri,2,2022-08-12 03:37:16,"tolong dong developersnya,setelah di update versi,tulisan transletnya jangan putih doang,ga ada pinggir hitam,pas jumpa sama"" putih malah kagak nampak subtitlenya"
361,Andi Soetanto,5,2022-08-12 00:45:40,"Tolong dong untuk serial drama kungfu Mandarin seperti the ""long ballad"" dan ""word of honor"" ditambahkan teks/subtitle BHS indonesia"
362,Edo Chipung,4,2022-08-11 12:40:21,"Sederhana. Tetapi bikin tertarik. Itu aja sudah cukup. Harapan nya lebih baik daripada sebelumnya. Film laga Indonesia terkenal semenjak ada NetFlix "" se tau saya. Bukan so tau ^_^"
363,mila sari,1,2022-08-11 04:45:02,"tidak ada pengaturaan berlaganaan, susah sekali 2 kali coba tapi gagal mulu"
364,Ndari Rianti,1,2022-08-10 13:57:50,Aneh banget cari beberapa film ga muncul. Padahal di coba di laptop ada. Udah cek pengaturan tapi ga bermasalah
365,Kevin Adriyan,1,2022-08-10 12:41:16,"Saya belum melihat isi dari aplikasi ini, tapi sudah di haruskan untuk berlangganan saja. Masih lebih baik dysney+"
366,MHA Channel,1,2022-08-10 00:05:36,"Aplikasi ngga bermutu, berbayar tp layanan buruk. Server sering error, terutama pagi hari. Semoga dalam waktu dekat perusahaan ini bangkrut karena netflik meroket ketika covid19, dan saat ini covid19 sudah selesai dan orang2 telah kembali beraktifitas normal."
367,Yuliana Queen,1,2022-08-09 19:37:51,Klo mau nonton hrs berlangganan dulu... Pd hal niat mau lihat2 dulu film nya baru2 semua atau tdk... Mohon diperbaiki spy tnp berlangganan pun bs nonton. Krn klo dpt kuota streaming sia2 klo tdk terpakai buat nonton film.. Jd uninstall deh. Tdk spt apk yg lain msh bs nonton tnp berlangganan tp iklannya yg bnyk... Thx u
368,febrian rinaldy,2,2022-08-09 19:02:18,Subtitle setelah update terbaru mah susah kebaca.. Kalo background warna putih subtitle ga kebaca.. Kecewa
